title,type,source,episodes,status,rating,score,scored_by,rank,popularity,members,favorites,year,season,has_year,has_season,genres,demographics
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.9,141359.0,21,1037,255332,2131,-1,Unknown,0,0,"Action, Comedy, Sci-Fi",Shounen
Kusuriya no Hitorigoto 2nd Season,Tv,Light Novel,24,Currently Airing,PG-13 - TEENS 13 OR OLDER,8.89,78642.0,22,795,330557,3944,2025,Winter,1,1,"Drama, Mystery",
Monster,Tv,Manga,74,Finished Airing,R+ - MILD NUDITY,8.89,473187.0,23,121,1243807,58223,2004,Spring,1,1,"Drama, Mystery, Suspense",Seinen
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,Tv,Manga,14,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.88,102985.0,24,1224,216898,1079,2018,Summer,1,1,"Action, Comedy, Sci-Fi",Shounen
Kusuriya no Hitorigoto,Tv,Light Novel,24,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.87,361044.0,25,345,667920,20885,2023,Fall,1,1,"Drama, Mystery",
Shingeki no Kyojin: The Final Season - Kanketsu-hen,Tv Special,Manga,2,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.86,468653.0,27,274,780257,16648,-1,Unknown,0,0,"Action, Drama, Suspense",Shounen
Owarimonogatari 2nd Season,Tv Special,Light Novel,7,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.86,204004.0,26,593,423792,8936,-1,Unknown,0,0,"Comedy, Mystery, Supernatural",
Takopii no Genzai,Ona,Manga,6,Currently Airing,R - 17+ (VIOLENCE & PROFANITY),8.84,6321.0,28,3613,45134,276,-1,Unknown,0,0,"Drama, Sci-Fi",Shounen
Violet Evergarden Movie,Movie,Light Novel,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.84,314458.0,29,335,682241,9343,-1,Unknown,0,0,"Award Winning, Drama",
Kingdom 3rd Season,Tv,Manga,26,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.83,48583.0,31,1981,121841,2443,2020,Spring,1,1,Action,Seinen
Kimi no Na wa.,Movie,Original,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.83,2008048.0,30,11,2911958,93581,-1,Unknown,0,0,"Award Winning, Drama",
Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,Movie,Manga,1,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.82,17918.0,32,3330,52012,378,-1,Unknown,0,0,"Action, Drama, Suspense",Shounen
Alien Stage,Music,Music,0,Currently Airing,R - 17+ (VIOLENCE & PROFANITY),8.82,3316.0,99999,7214,8997,495,-1,Unknown,0,0,"Drama, Sci-Fi, Suspense",
Vinland Saga Season 2,Tv,Manga,24,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.81,417549.0,33,289,758985,18222,2023,Winter,1,1,"Action, Adventure, Drama",Seinen
Gintama. Shirogane no Tamashii-hen,Tv,Manga,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.81,111754.0,34,1160,229564,1207,2018,Winter,1,1,"Action, Comedy, Sci-Fi",Shounen
Mob Psycho 100 II,Tv,Web Manga,13,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.78,1040666.0,37,73,1650787,33318,2019,Winter,1,1,"Action, Comedy, Supernatural",
Kizumonogatari III: Reiketsu-hen,Movie,Light Novel,1,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.78,287448.0,36,498,494183,7909,-1,Unknown,0,0,"Action, Mystery, Supernatural",
Shingeki no Kyojin: The Final Season,Tv,Manga,16,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.78,1440853.0,38,31,2170737,53200,2021,Winter,1,1,"Action, Drama, Suspense",Shounen
Hajime no Ippo,Tv,Manga,75,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.78,323065.0,35,355,655596,23986,2000,Fall,1,1,Sports,Shounen
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Tv,Manga,10,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.77,845142.0,41,116,1280861,15830,2016,Fall,1,1,Sports,Shounen
Vinland Saga,Tv,Manga,24,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.77,982751.0,40,70,1694888,53247,2019,Summer,1,1,"Action, Adventure, Drama",Seinen
Sen to Chihiro no Kamikakushi,Movie,Original,1,Finished Airing,PG - CHILDREN,8.77,1367297.0,39,44,1959344,34303,-1,Unknown,0,0,"Adventure, Award Winning, Fantasy",
Monogatari Series: Second Season,Tv,Light Novel,26,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.76,371897.0,43,319,701551,23959,2013,Summer,1,1,"Comedy, Mystery, Romance, Supernatural",
Shingeki no Kyojin: The Final Season Part 2,Tv,Manga,12,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.76,858126.0,42,97,1452799,31406,2022,Winter,1,1,"Action, Drama, Suspense",Shounen
Ashita no Joe 2,Tv,Manga,47,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.75,24045.0,44,3030,62246,3067,1980,Fall,1,1,"Drama, Sports",Shounen
Bocchi the Rock!,Tv,4-Koma Manga,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.75,426303.0,45,316,707607,33608,2022,Fall,1,1,Comedy,
Cowboy Bebop,Tv,Original,26,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.75,1022345.0,46,42,1980534,86780,1998,Spring,1,1,"Action, Award Winning, Sci-Fi",
Boku no Kokoro no Yabai Yatsu 2nd Season,Tv,Manga,13,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.74,150589.0,47,987,269172,5690,2024,Winter,1,1,"Comedy, Romance",Shounen
Jujutsu Kaisen 2nd Season,Tv,Manga,23,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.74,691771.0,48,128,1211739,24529,2023,Summer,1,1,"Action, Supernatural",Shounen
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie,Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.73,186522.0,49,788,334384,2181,-1,Unknown,0,0,"Comedy, Drama, Romance",Seinen
Kingdom 4th Season,Tv,Manga,26,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.73,34650.0,50,2622,79931,1129,2022,Spring,1,1,Action,Seinen
One Piece,Tv,Manga,0,Currently Airing,PG-13 - TEENS 13 OR OLDER,8.73,1448676.0,51,17,2547785,239661,1999,Fall,1,1,"Action, Adventure, Fantasy",Shounen
Idol,Music,Original,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.72,18655.0,99999,4637,27123,344,-1,Unknown,0,0,,
Kingdom 5th Season,Tv,Manga,13,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.72,22030.0,53,3347,51696,550,2024,Winter,1,1,Action,Seinen
Mushishi Zoku Shou 2nd Season,Tv,Manga,10,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.72,113052.0,54,931,283784,1549,2014,Fall,1,1,"Adventure, Mystery, Slice of Life, Supernatural",Seinen
The First Slam Dunk,Movie,Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.72,30294.0,57,2913,66875,947,-1,Unknown,0,0,"Award Winning, Sports",Shounen
Shiguang Dailiren,Ona,Original,11,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.72,171724.0,56,567,441708,13810,-1,Unknown,0,0,"Drama, Mystery, Suspense",
86 Part 2,Tv,Light Novel,12,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.72,338757.0,55,408,587518,17239,2021,Fall,1,1,"Action, Drama, Sci-Fi",
Kimetsu no Yaiba: Yuukaku-hen,Tv,Manga,11,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.72,1030027.0,52,75,1614854,24983,2022,Winter,1,1,"Action, Supernatural",Shounen
Chi. Chikyuu no Undou ni Tsuite,Tv,Manga,25,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.71,79200.0,59,1226,216482,4636,2024,Fall,1,1,Drama,Seinen
Hibike! Euphonium 3,Tv,Novel,13,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.71,33109.0,60,2470,88050,1741,2024,Spring,1,1,Drama,
Mob Psycho 100 III,Tv,Web Manga,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.71,400113.0,58,267,790982,11748,2022,Fall,1,1,"Action, Comedy, Supernatural",
Ore dake Level Up na Ken Season 2: Arise from the Shadow,Tv,Web Manga,13,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.7,371827.0,64,386,616782,9997,2025,Winter,1,1,"Action, Adventure, Fantasy",
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Tv,Manga,13,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.7,202802.0,61,713,364337,4838,2023,Summer,1,1,"Action, Adventure, Supernatural",Shounen
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Tv,Manga,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.7,68314.0,63,1333,197395,3200,2017,Winter,1,1,Drama,Josei
Code Geass: Hangyaku no Lelouch,Tv,Original,25,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.7,1469327.0,62,22,2378171,113072,2006,Fall,1,1,"Action, Award Winning, Drama, Sci-Fi",
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Ova,Manga,4,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.7,142287.0,65,917,287543,6395,-1,Unknown,0,0,"Action, Drama, Romance",Shounen
Mushishi Zoku Shou,Tv,Manga,10,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.69,124889.0,66,832,317618,1628,2014,Spring,1,1,"Adventure, Mystery, Slice of Life, Supernatural",Seinen
Guimi Zhi Zhu: Xiaochou Pian,Ona,Web Novel,13,Currently Airing,R - 17+ (VIOLENCE & PROFANITY),8.68,7116.0,69,2970,64337,1101,-1,Unknown,0,0,"Action, Fantasy, Mystery, Suspense",
Violet Evergarden,Tv,Light Novel,13,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.68,1043338.0,69,46,1910354,66115,2018,Winter,1,1,Drama,
Great Teacher Onizuka,Tv,Manga,43,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.68,432433.0,68,220,883139,27746,1999,Summer,1,1,Comedy,Shounen
Mo Dao Zu Shi: Wanjie Pian,Ona,Web Novel,12,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.68,32560.0,67,2406,91424,1686,-1,Unknown,0,0,"Action, Adventure, Drama, Fantasy, Mystery",
Monogatari Series: Off & Monster Season,Ona,Light Novel,14,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.67,32758.0,71,2410,91134,829,-1,Unknown,0,0,"Comedy, Mystery, Supernatural",
Bleach: Sennen Kessen-hen - Soukoku-tan,Tv,Manga,14,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.67,120492.0,73,1091,242586,3332,2024,Fall,1,1,"Action, Adventure, Supernatural",Shounen
Hajime no Ippo: New Challenger,Tv,Manga,26,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.67,180886.0,74,859,311551,1897,2009,Winter,1,1,Sports,Shounen
Howl no Ugoku Shiro,Movie,Novel,1,Finished Airing,G - ALL AGES,8.67,986822.0,75,100,1430595,30814,-1,Unknown,0,0,"Adventure, Award Winning, Drama, Fantasy, Romance",
Mononoke Hime,Movie,Original,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.67,857743.0,72,106,1331441,23346,-1,Unknown,0,0,"Action, Adventure, Award Winning, Fantasy",
Shiguang Dailiren II,Ona,Original,12,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.65,68118.0,76,1665,151443,2017,-1,Unknown,0,0,"Drama, Mystery, Suspense",
Mushishi,Tv,Manga,26,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.65,290529.0,78,225,876014,27754,2005,Fall,1,1,"Adventure, Mystery, Slice of Life, Supernatural",Seinen
Tian Guan Cifu Er,Ona,Web Novel,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.65,21297.0,77,3142,57917,1222,-1,Unknown,0,0,"Action, Adventure, Drama, Fantasy",
Look Back,Movie,Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.64,96312.0,79,1459,178362,3455,-1,Unknown,0,0,Drama,Shounen
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,Visual Novel,1,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.64,208139.0,81,672,384602,8334,-1,Unknown,0,0,"Action, Fantasy",
Tengen Toppa Gurren Lagann,Tv,Original,27,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.64,943184.0,83,67,1702401,81912,2007,Spring,1,1,"Action, Adventure, Award Winning, Sci-Fi",
Odd Taxi,Tv,Original,13,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.64,237046.0,80,510,480815,8883,2021,Spring,1,1,"Award Winning, Drama, Mystery, Suspense",
Shigatsu wa Kimi no Uso,Tv,Manga,22,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.64,1420821.0,82,24,2337486,88438,2014,Fall,1,1,"Drama, Romance",Shounen
Made in Abyss,Tv,Web Manga,13,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.63,802366.0,85,91,1485476,46449,2017,Summer,1,1,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",
Natsume Yuujinchou Shi,Tv,Manga,13,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.63,114732.0,87,1026,259869,2080,2012,Winter,1,1,"Slice of Life, Supernatural",Shoujo
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Tv,Light Novel,12,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.63,658010.0,86,165,1048936,19045,2021,Fall,1,1,"Adventure, Drama, Fantasy, Ecchi",
Shingeki no Kyojin Season 3,Tv,Manga,12,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.63,1726092.0,84,18,2541265,21611,2018,Summer,1,1,"Action, Drama, Suspense",Shounen
Bungou Stray Dogs 5th Season,Tv,Manga,11,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.62,106702.0,90,1146,232247,2770,2023,Summer,1,1,"Action, Mystery",Seinen
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,Tv,Manga,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.62,919313.0,88,99,1436820,18950,2020,Spring,1,1,"Comedy, Romance",Seinen
Ping Pong the Animation,Tv,Manga,11,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.62,196267.0,89,597,421793,16834,2014,Spring,1,1,"Award Winning, Drama, Sports",Seinen
Death Note,Tv,Manga,37,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.62,2890399.0,91,2,4127488,180521,2006,Fall,1,1,"Supernatural, Suspense",Shounen
Haikyuu!! Second Season,Tv,Manga,25,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.62,995090.0,92,88,1514344,15973,2015,Fall,1,1,Sports,Shounen
Haikyuu!! Movie: Gomisuteba no Kessen,Movie,Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.61,82379.0,94,1367,191620,1550,-1,Unknown,0,0,Sports,Shounen
Natsume Yuujinchou Roku,Tv,Manga,11,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.61,73879.0,98,1315,199964,1142,2017,Spring,1,1,"Slice of Life, Supernatural",Shoujo
Cyberpunk: Edgerunners,Ona,Game,10,Finished Airing,R+ - MILD NUDITY,8.61,627825.0,93,202,926129,30995,-1,Unknown,0,0,"Action, Sci-Fi",
Hajime no Ippo: Rising,Tv,Manga,25,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.61,155858.0,95,926,284549,1386,2013,Fall,1,1,Sports,Shounen
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,Web Manga,1,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.61,286287.0,96,478,509306,3852,-1,Unknown,0,0,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",
Made in Abyss: Retsujitsu no Ougonkyou,Tv,Web Manga,12,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.61,238564.0,97,482,504960,6665,2022,Summer,1,1,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",
Dungeon Meshi,Tv,Manga,24,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.6,247927.0,100,493,497043,10145,2024,Winter,1,1,"Adventure, Comedy, Fantasy, Gourmet",Seinen
Kenpuu Denki Berserk,Tv,Manga,25,Finished Airing,R+ - MILD NUDITY,8.6,389339.0,99,302,724550,30095,1997,Fall,1,1,"Action, Adventure, Drama, Fantasy, Horror",Seinen
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie,Original,1,Finished Airing,R+ - MILD NUDITY,8.59,108642.0,103,1157,230257,1131,-1,Unknown,0,0,"Action, Sci-Fi",
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,Light Novel,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.59,486573.0,101,282,771823,10780,-1,Unknown,0,0,"Drama, Romance, Supernatural",
Suzumiya Haruhi no Shoushitsu,Movie,Light Novel,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.59,321901.0,102,371,634215,13941,-1,Unknown,0,0,"Award Winning, Mystery, Sci-Fi, Supernatural",
Shin Evangelion Movie:||,Movie,Original,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.58,179780.0,104,629,404795,7993,-1,Unknown,0,0,"Action, Award Winning, Drama, Sci-Fi, Suspense",
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,Tv,Manga,39,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.58,739757.0,105,149,1105835,33590,2018,Fall,1,1,"Action, Adventure",Shounen
Mushishi Zoku Shou: Suzu no Shizuku,Movie,Manga,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.58,54441.0,106,1799,137001,234,-1,Unknown,0,0,"Adventure, Mystery, Slice of Life, Supernatural",Seinen
Natsume Yuujinchou Shichi,Tv,Manga,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.57,14549.0,107,3374,50924,483,2024,Fall,1,1,"Slice of Life, Supernatural",Shoujo
[Oshi no Ko],Tv,Manga,11,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.57,566532.0,109,192,961396,30414,2023,Spring,1,1,"Award Winning, Drama",Seinen
Doupo Cangqiong: San Nian Zhi Yue,Ona,Novel,13,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.57,4708.0,108,6737,10574,204,-1,Unknown,0,0,"Action, Fantasy",
[Oshi no Ko] 2nd Season,Tv,Manga,13,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.56,208438.0,112,549,451003,5717,2024,Summer,1,1,Drama,Seinen
Natsume Yuujinchou Go,Tv,Manga,11,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.56,81032.0,116,1316,199852,890,2016,Fall,1,1,"Slice of Life, Supernatural",Shoujo
Kizumonogatari II: Nekketsu-hen,Movie,Light Novel,1,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.56,286326.0,113,522,472286,2416,-1,Unknown,0,0,"Action, Mystery, Supernatural",
Ookami Kodomo no Ame to Yuki,Movie,Original,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.56,475852.0,117,243,847094,11663,-1,Unknown,0,0,"Award Winning, Slice of Life, Supernatural",
Natsume Yuujinchou San,Tv,Manga,13,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.56,124138.0,116,998,266494,1483,2011,Summer,1,1,"Slice of Life, Supernatural",Shoujo
Shingeki no Kyojin,Tv,Manga,25,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.56,2949019.0,110,1,4184275,181220,2013,Spring,1,1,"Action, Award Winning, Drama, Suspense",Shounen
Nana,Tv,Manga,47,Finished Airing,R+ - MILD NUDITY,8.56,283681.0,114,296,735739,33191,2006,Spring,1,1,"Drama, Romance",Shoujo
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Movie,Original,1,Finished Airing,R+ - MILD NUDITY,8.56,663602.0,111,178,994329,30875,-1,Unknown,0,0,"Action, Avant Garde, Drama, Sci-Fi, Suspense",
Shouwa Genroku Rakugo Shinjuu,Tv,Manga,13,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.55,97669.0,122,879,305770,5899,2016,Winter,1,1,Drama,Josei
Kimi no Suizou wo Tabetai,Movie,Novel,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.55,630719.0,120,162,1055788,22363,-1,Unknown,0,0,"Drama, Romance",
Yojouhan Shinwa Taikei,Tv,Novel,11,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.55,152424.0,124,514,477560,18824,2010,Spring,1,1,"Award Winning, Comedy, Mystery, Romance, Suspense",
Perfect Blue,Movie,Novel,1,Finished Airing,R+ - MILD NUDITY,8.55,415113.0,121,280,773539,20754,-1,Unknown,0,0,"Avant Garde, Award Winning, Drama, Horror, Suspense",
Slam Dunk,Tv,Manga,101,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.55,146087.0,123,810,324935,7802,1993,Fall,1,1,Sports,Shounen
Haikyuu!! To the Top Part 2,Tv,Manga,12,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.55,527725.0,125,219,886204,6382,2020,Fall,1,1,Sports,Shounen
Jujutsu Kaisen,Tv,Manga,24,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.55,1859667.0,119,13,2829796,93781,2020,Fall,1,1,"Action, Award Winning, Supernatural",Shounen
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,Manga,1,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.55,1114462.0,119,71,1678719,13407,-1,Unknown,0,0,"Action, Supernatural",Shounen
Steins;Gate 0,Tv,Visual Novel,23,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.54,455010.0,127,207,922198,12411,2018,Spring,1,1,"Drama, Sci-Fi, Suspense",
Fate/Zero 2nd Season,Tv,Light Novel,12,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.54,738491.0,126,137,1164908,20602,2012,Spring,1,1,"Action, Fantasy",
Uma Musume: Pretty Derby - Shin Jidai no Tobira,Movie,Game,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.53,6609.0,129,5674,16302,204,-1,Unknown,0,0,Sports,
Shingeki no Kyojin Season 2,Tv,Manga,12,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.53,1980537.0,128,12,2895342,22417,2017,Spring,1,1,"Action, Drama, Suspense",Shounen
Zoku Natsume Yuujinchou,Tv,Manga,13,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.53,131433.0,129,1022,260873,1484,2009,Winter,1,1,"Slice of Life, Supernatural",Shoujo
Hotaru no Haka,Movie,Novel,1,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.53,435817.0,132,300,729409,8756,-1,Unknown,0,0,Drama,
Fruits Basket 2nd Season,Tv,Manga,25,Finished Airing,PG-13 - TEENS 13 OR OLDER,8.53,287744.0,131,433,557956,6322,2020,Spring,1,1,"Drama, Romance, Supernatural",Shoujo
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,Ona,Manga,14,Finished Airing,R - 17+ (VIOLENCE & PROFANITY),8.52,169107.0,135,1036,257182,3278,-1,Unknown,0,0,"Action, Adventure",Shounen
